Nothing	ID	Sentiment	Tweet	Time
NA	708	positive	Congrats! @davidalston et al.  http://t.co/Q96DpihWQP	Fri Oct 02 18:14:41 +0000 2015
NA	709	positive	@oneredcatmedia i understand.  have a good weekend, sir :)	Fri Oct 02 17:32:06 +0000 2015
NA	710	positive	@oneredcatmedia lol. ..a little bit ;)  find another book	Fri Oct 02 17:26:05 +0000 2015
NA	711	positive	@oneredcatmedia i like mine better ;)	Fri Oct 02 17:19:53 +0000 2015
NA	712	positive	lots of sleeping,loving,eating,drinking,walking..&amp; wait til you drink big waterglasses of cold fresh oj every morning http://t.co/ikxfYXP3A2	Fri Oct 02 17:13:04 +0000 2015
NA	713	positive	not my circus, not my monkey.  here's to a good, healthy, happy weekend!	Fri Oct 02 14:40:27 +0000 2015
NA	714	neutral	http://t.co/0X8S4PhEg1	Fri Oct 02 00:46:30 +0000 2015
NA	715	positive	I just used Shazam to discover Wherever You Go by Fortunate Ones. https://t.co/pvManTzT4p	Thu Oct 01 19:49:50 +0000 2015
NA	716	positive	this is awesome! :)) thanks for sharing, trev @TheLessonLocker ... Daylight Saving - Movie Trailer https://t.co/8lYbNZeV4a	Thu Oct 01 16:12:55 +0000 2015
NA	717	neutral	RT @RollingStone: Our A-to-Z breakdown of modern cult classics http://t.co/rkhqkXk0u5 http://t.co/I1D7r8XNre	Thu Oct 01 01:47:17 +0000 2015
NA	718	positive	a beautiful tom waits song i can make it all the way through. https://t.co/3UjFteeOef	Thu Oct 01 01:42:53 +0000 2015
NA	719	negative	'in deep sadness there is no place for sentimentality'  william s. burroughs	Wed Sep 30 23:46:59 +0000 2015
NA	720	neutral	RT @34jallen: Sneak peek from @headstronggrafx of my 2015 backplate. Full mask coming soon. #NBproud http://t.co/iD6sH9vS0H	Wed Sep 30 17:44:10 +0000 2015
NA	721	positive	@34jallen @headstronggrafx you are doing us proud!  bravo :)	Wed Sep 30 17:44:03 +0000 2015
NA	722	positive	i'm kind of really appreciating everything about being 47 right now.	Wed Sep 30 17:41:41 +0000 2015
NA	723	positive	@kurtpeacock ha, not convinced of that prophecy yet.  lunch..you know i can't pick. stay uptown though ;)	Wed Sep 30 16:28:16 +0000 2015
NA	724	positive	hey @kurtpeacock, i enjoyed reading this simpler side of you, 1 of the 2 cheap guys..no stats, no crazy numbers, just good homemade bread :)	Wed Sep 30 16:16:55 +0000 2015
NA	725	negative	'we try to see in the dark; we toss up our questions and they catch in the trees.'  ~annie dillard	Wed Sep 30 15:21:34 +0000 2015
NA	726	positive	RT @Lamespotting: Now that the cops are distracted with the snake, you can safely block traffic at Tim Hortons again.	Wed Sep 30 13:07:49 +0000 2015
NA	727	neutral	http://t.co/LJjfGy2lQT	Tue Sep 29 23:36:03 +0000 2015
NA	728	neutral	goosebumps for today..  http://t.co/XF7qaLsdCp	Tue Sep 29 18:58:55 +0000 2015
NA	729	neutral	#jamesbay	Tue Sep 29 18:55:19 +0000 2015
NA	730	positive	RT @jlibertyartists: Checking out "Uptown Mugs #41 . Jeff Liberty" on Uptown Directory: http://t.co/aStXxQ9bve	Tue Sep 29 18:32:12 +0000 2015
NA	731	positive	@PhilMoscovitch that's strangely unfamiliar ;)	Tue Sep 29 17:54:53 +0000 2015
NA	732	positive	realistic, imperfect human sculptures.. http://t.co/1bC3RxdjgF via @___Dose___	Tue Sep 29 17:07:04 +0000 2015
NA	733	positive	@UptownNancy that is friggin' spooky and you may not even know why.  enjoy Frisco, lovely lady :)	Tue Sep 29 03:14:28 +0000 2015
NA	734	positive	smooth as butter voice... Matt Andersen performs on East Coast Music Hour with David Myles on CBC Music. http://t.co/2k9X1wRmsg	Mon Sep 28 22:40:04 +0000 2015
NA	735	positive	RT @EliteDaily: Why this generation needs to make being manly cool again http://t.co/z0EODcLV6S http://t.co/89ERMfQDra	Mon Sep 28 19:50:46 +0000 2015
NA	736	neutral	RT @CBCNB: New owners of Crabbe Mountain  set goal for year-round activity.http://t.co/vYoi7VhLil #NB http://t.co/z2dncIPiij	Mon Sep 28 16:01:17 +0000 2015
NA	737	positive	RT @CutShortFilm: "If the moon smiled, she would resemble you.You leave the same impression Of something beautiful, but annihilating" #moo…	Mon Sep 28 07:56:28 +0000 2015
NA	738	neutral	#sylviaplath http://t.co/sMVRLKXNti	Mon Sep 28 07:55:26 +0000 2015
NA	739	neutral	http://t.co/dyVqMKlqCm	Mon Sep 28 07:20:40 +0000 2015
NA	740	positive	The Ragtime Gals: Bitch Better Have My Money (w/Joseph Gordon-Levitt) https://t.co/kr9z9nBCeh via @YouTube	Mon Sep 28 03:11:16 +0000 2015
NA	741	neutral	no words. http://t.co/7AaKhLbpPC	Sun Sep 27 20:55:03 +0000 2015
NA	742	neutral	I just used Shazam to discover December by Collective Soul. http://t.co/KBmDFOV0OC	Sun Sep 27 17:28:31 +0000 2015
NA	743	positive	not everything that seems too good to be true is	Sun Sep 27 16:12:36 +0000 2015
NA	744	neutral	marina abramovi . 'the artist is present' trailer...   http://t.co/liQwFen1yc	Sun Sep 27 14:15:42 +0000 2015
NA	745	negative	RT @spitanddirt: Day and night don’t fight; they coexist. Sun and rain don’t try to outdo one another; they simply function autonomously. …	Sun Sep 27 13:57:17 +0000 2015
NA	746	neutral	http://t.co/Aqjz3EgSGW	Sun Sep 27 13:39:45 +0000 2015
NA	747	positive	@barben2 ..heathens ;)	Sat Sep 26 19:30:45 +0000 2015
NA	748	positive	great prints at #whitelotustattoo in Fredericton.. http://t.co/9hFJq703hE	Sat Sep 26 19:26:33 +0000 2015
NA	749	positive	I just used Shazam to discover What It's Like by Everlast. http://t.co/8M0tQyULty	Sat Sep 26 13:36:41 +0000 2015
NA	750	neutral	http://t.co/NNjJOn0SWU	Sat Sep 26 12:23:28 +0000 2015
NA	751	positive	@David_Bollman love this!	Fri Sep 25 14:33:29 +0000 2015
NA	752	neutral	cheers to the weekend! http://t.co/84ZEtLimE2	Fri Sep 25 14:02:47 +0000 2015
NA	753	positive	:) :) nate mackinnon and sidney crosby working a tim hortons drive thru.. http://t.co/0nzkhPaFIs	Fri Sep 25 00:41:21 +0000 2015
NA	754	neutral	check out these unseen photos from the Nevermind promo shoot on CBC Music. http://t.co/l0ndrCbrrM	Thu Sep 24 22:23:48 +0000 2015
NA	755	positive	this place reeks epic coolness! ..A very brief history of Lee’s Palace - NOW Toronto Magazine - Think Free http://t.co/XnQtkFclxQ	Thu Sep 24 21:33:40 +0000 2015
NA	756	positive	RT @ActionFigured: Well, this seems fishy. #lego http://t.co/h8zhWHEEDi	Thu Sep 24 21:17:20 +0000 2015
NA	757	positive	there's still something sexy about a cigarette	Thu Sep 24 19:52:18 +0000 2015
NA	758	neutral	RT @TheUnNovelist: End with an image and don't explain. Stanley Kunitz #amwriting #writing #writingtip http://t.co/2Zj7fwBbTL	Thu Sep 24 16:11:16 +0000 2015
NA	759	neutral	grooviest of boys @PaoloNutini https://t.co/nuvFEONmBR #numpty	Thu Sep 24 16:11:01 +0000 2015
NA	760	negative	RT @steve_sps: When you're weary,feeling small,When tears are in your eyes,I will dry them all,I'm on your side...S&amp;G http://t.co/i…	Thu Sep 24 14:20:53 +0000 2015
NA	761	positive	@CultureOfOne thanks for the correction, g ..guilty of only knowing the tbc version.  i'll check out the original by the great otis redding	Thu Sep 24 12:08:51 +0000 2015
NA	762	neutral	'boys are things that come by the dozenthat ain't nothin' but drugstore lovin'  tbc	Thu Sep 24 11:52:30 +0000 2015
NA	763	positive	always so impressed and awed by working dogs.  heartwarming.  thanks for this story :) https://t.co/S2zLsjdLDG	Thu Sep 24 10:50:09 +0000 2015
NA	764	neutral	morning comes early	Thu Sep 24 10:03:42 +0000 2015
NA	765	neutral	I just used Shazam to discover Better Man by Pearl Jam. http://t.co/PPNKWqmPVB	Thu Sep 24 10:02:07 +0000 2015
NA	766	positive	RT @on_the_varanda: Live simply. Dream big. Be grateful. Give love. Laugh lots. - Unknown #quote	Wed Sep 23 20:05:47 +0000 2015
NA	767	neutral	RT @UptownNancy: Sneak peek of our own SJ chefs getting ready for @chopchopsj hold 1st week of November https://t.co/UJzrtkzdWR	Wed Sep 23 18:28:47 +0000 2015
NA	768	neutral	Yogi Berra, Yankees Legend and Hall of Fame Catcher, Dies at 90 http://t.co/lNnXunP4AV	Wed Sep 23 13:17:42 +0000 2015
NA	769	positive	@thewrightpage of course!  best of luck, and congrats! :)	Tue Sep 22 19:16:59 +0000 2015
NA	770	positive	i'm quite happy to be a bit uncivilized and low brow.	Tue Sep 22 19:06:21 +0000 2015
NA	771	positive	RT @philoquotes: « The superior man is modest in his speech, but exceeds in his actions. » Confucius   http://t.co/FvOSpQa2pf	Tue Sep 22 13:24:18 +0000 2015
NA	772	neutral	RT @RobotThomas: Your thought for the day. http://t.co/QMaQIOYrjK	Mon Sep 21 19:18:31 +0000 2015
NA	773	positive	RT @RollingStone: The 10 best things we saw at #TIFF15 http://t.co/XS0cd2levM http://t.co/Estogc65oG	Mon Sep 21 19:16:53 +0000 2015
NA	774	positive	RT @jlibertyartists: Tune into @InfoAMSJ at 7:50AM Tues 2 hear #TakeLiberty music feat  #ItsAlwaysSunnyInNewBrunswick RT @WhatsUpSaintJoh h…	Mon Sep 21 18:26:19 +0000 2015
NA	775	positive	RT @MaximMag: Happy 65th Birthday, Bill Murray. #MaximLegends http://t.co/8nf8QICXcb http://t.co/xyjGIoXJqY	Mon Sep 21 18:23:09 +0000 2015
NA	776	positive	Dr Sheppard/ @sheppardchiro1 instrumental in organizing the @JoshuaGroupSJ building refurbishment. Plan to attend the grand opening, Oct 3	Mon Sep 21 18:14:58 +0000 2015
NA	777	neutral	https://t.co/ZBkfRGk5Dg. angus &amp; julua stone	Mon Sep 21 03:19:49 +0000 2015
NA	778	positive	RT @mashable: Don Draper does what he damn well pleases https://t.co/Hw87V8i7pZ	Mon Sep 21 02:48:26 +0000 2015
NA	779	positive	RT @MaximMag: A huge congrats to Jon Hamm who just won his first #Emmy for lead actor in a drama. #MadMen http://t.co/iWOX1dGL1Z http://t.c…	Mon Sep 21 02:47:24 +0000 2015
NA	780	negative	between people, forgiveness is not necessary.  moving forward is. http://t.co/yg3MYuXEcX	Sun Sep 20 20:32:13 +0000 2015
NA	781	positive	hitting every red light and bus stop driving in this hot sept sun.  good thing jazz is on @cbcradio #myplaylist	Fri Sep 18 18:21:35 +0000 2015
NA	782	positive	RT @UptownNancy: Our new office space @uptownsaintjohn glorious sunny place can't wait! @CPLProperties http://t.co/gavA1LKE56	Fri Sep 18 16:10:40 +0000 2015
NA	783	positive	'so dawn goes down today, nothing gold can stay.' robert frost http://t.co/GVabdukGLP	Thu Sep 17 22:26:57 +0000 2015
NA	784	positive	everything is glowing ❤	Thu Sep 17 22:21:09 +0000 2015
NA	785	positive	LOVE this song. still not tired of the tune. lyrics, i can't even. 'i don't have much but i got the good stuff..' https://t.co/DRTvu9jyYH	Thu Sep 17 14:26:47 +0000 2015
NA	786	neutral	RT @GuardianComms: The Pernickety Story of English Punctuation review – hissy fits about apostrophes #Books http://t.co/UWSpjQqn1U http://t…	Thu Sep 17 12:50:57 +0000 2015
NA	787	positive	good stuff here.  -&gt; Check out First Play Glen Hansard Didnt He Ramble http://t.co/ksoh515tTn via @cbcmusic	Thu Sep 17 12:18:53 +0000 2015
NA	788	neutral	'Me &amp; My Other Me', Illustrations of Celebrities Standing Next to Their Younger Selves: http://t.co/EgvLDCIZG5 via @LaughingSquid	Thu Sep 17 05:03:24 +0000 2015
NA	789	negative	'there are things known and there are things unknown, and in between are the doors of perception.' ..or, just 'the doors'  huxley/morrison	Thu Sep 17 00:35:47 +0000 2015
NA	790	negative	one of the reasons i do not support the death penalty.. https://t.co/cpdaD5vCKB	Thu Sep 17 00:05:06 +0000 2015
NA	791	positive	sometimes even the smallest hidden corner of thought is better than nothing	Wed Sep 16 23:59:33 +0000 2015
NA	792	negative	I just used Shazam to discover Let Loose The Dogs by Cold Specks. http://t.co/oSRv8KNmkw	Wed Sep 16 21:58:27 +0000 2015
NA	793	neutral	RT @TheQuoteToday: Time means nothing, character does.#quoteVia: http://t.co/kQRY0jZV8E http://t.co/pGqm3D7oP1	Wed Sep 16 17:57:03 +0000 2015
NA	794	positive	RT @steffturner: Uptown Saint John Inc. announces move to hip new street level digs!#livelifeuptown BLOG&gt;&gt;http://t.co/qX6dH5s48y http://t.c…	Wed Sep 16 17:09:52 +0000 2015
NA	795	neutral	RT @selfamused: eccedentesiast http://t.co/cK0kPa23qm	Wed Sep 16 17:08:59 +0000 2015
NA	796	neutral	girls laugh at this, guys don't get it. http://t.co/fr4bVDU7yn	Wed Sep 16 17:07:13 +0000 2015
NA	797	neutral	this doesn't get old.. http://t.co/K1XE5IC5IC	Wed Sep 16 16:24:49 +0000 2015
NA	798	neutral	RT @___Dose___: 17 Names Only Old People Have That Totally Deserve a Comeback https://t.co/iPekx6JIkj	Wed Sep 16 12:36:50 +0000 2015
NA	799	neutral	two tweets back *william s. burroughs	Wed Sep 16 00:13:53 +0000 2015
NA	800	positive	country in the city @rockwoodpark ..i could walk off the edge of the night sky earth and be happy http://t.co/1oHCJizDfi	Tue Sep 15 23:07:33 +0000 2015
NA	801	negative	'desperation is the raw material of drastic change.only those who can leave behind everything they have ever believed in can hope to escape'	Tue Sep 15 22:14:35 +0000 2015
NA	802	neutral	http://t.co/Yfcee3Ih5j	Tue Sep 15 18:14:19 +0000 2015
NA	803	neutral	RT @TorontoStar: #RexMurphy leaving @CBC’s Cross Country Checkuphttp://t.co/mSvtn4DlMx http://t.co/Zw8aDA2V8j	Tue Sep 15 00:15:08 +0000 2015
NA	804	positive	beauty! :) https://t.co/UMA624Suj2	Mon Sep 14 21:47:52 +0000 2015
NA	805	neutral	RT @CTVAnchor: @CindyDayCTV says Friday was rainiest September day ever in @PortSaintJohn, 107mm.  108mm in Greenwood, NS.  @CTVAtlantic	Mon Sep 14 21:46:58 +0000 2015
NA	806	negative	RT @Jeterseven: Silence was all I had, and you were oblivious to it's sound as you turned and walked away.If only you could have felt it'…	Mon Sep 14 17:05:48 +0000 2015
NA	807	positive	life offers a plethora of options, don't limit yourself.  #thinkbig	Mon Sep 14 16:43:13 +0000 2015
NA	808	neutral	RT @Curalate: Instagram drives 58x more engagement than Facebook &amp; 120x more than Twitter: http://t.co/0Ae5WV2H6t (via @MediaPost). http://…	Mon Sep 14 14:21:44 +0000 2015
NA	809	positive	RT @HuffPostArts: This is a nude 100-year-old body, and it's beautiful http://t.co/94tdgYZAT3 http://t.co/wzpuMYqXXc	Sun Sep 13 18:33:35 +0000 2015
NA	810	neutral	RT @oldpicsarchive: A policeman judges an ankle competition at Hounslow, London 1930 http://t.co/omM6KsplXl	Sun Sep 13 13:09:01 +0000 2015
NA	811	positive	i want to be skinny, wear denim overalls, ponytail, drink good red wine and paint big canvasses in the village	Sat Sep 12 18:27:21 +0000 2015
NA	812	neutral	http://t.co/wmgi9b3Duo	Sat Sep 12 14:45:00 +0000 2015
NA	813	positive	beautiful instinct.    https://t.co/pPaK2ss9BF	Sat Sep 12 14:08:37 +0000 2015
NA	814	neutral	it's no longer saturday morning with coffee and the paper, it's saturday morning with coffee and twitter.	Sat Sep 12 13:35:18 +0000 2015
NA	815	positive	very sweet story.. :) https://t.co/uanCHl5KCZ	Sat Sep 12 12:45:12 +0000 2015
NA	816	positive	'we sometimes encounter people, even perfect strangers, who begin to interest us at first sight...before a word has been spoken' dostoievsky	Fri Sep 11 23:57:20 +0000 2015
NA	817	neutral	I just used Shazam to discover Black by Pearl Jam. http://t.co/vjXavU9WVN	Fri Sep 11 19:50:44 +0000 2015
NA	818	positive	just finished my morning coffee ;)	Fri Sep 11 19:19:58 +0000 2015
NA	819	neutral	just a little sprinkle uptown http://t.co/zVwROut4Dg	Fri Sep 11 17:19:07 +0000 2015
NA	820	negative	'..until the sky bleeds the pouring rain.' https://t.co/Mq2Vi8SsmG @chriscornell	Fri Sep 11 15:08:56 +0000 2015
NA	821	neutral	high school kids getting triple triples	Fri Sep 11 12:03:15 +0000 2015
NA	822	positive	promises, promises..	Thu Sep 10 15:25:25 +0000 2015
NA	823	neutral	RT @oldpicsarchive: Monet with a pigeon on his head. http://t.co/250scQScYf	Thu Sep 10 14:52:32 +0000 2015
NA	824	neutral	@thbrothers11 yup. look him up.	Thu Sep 10 13:54:46 +0000 2015
NA	825	neutral	RT @kateelisabee: Yazoo City, Miss. 1979. Nicholas Nixon. http://t.co/k0ui8CLb0O on @nytimesphoto http://t.co/BM7lXpaCBw	Thu Sep 10 13:53:04 +0000 2015
NA	826	positive	hey, just thinking you look remarkably similar to rhett from @rhettlinkgmm.  just an observation.  happy thursday, tim :) @thbrothers11	Thu Sep 10 13:52:45 +0000 2015
NA	827	neutral	@SerfCity .. https://t.co/DvpYOEUsJV	Thu Sep 10 13:37:05 +0000 2015
NA	828	positive	like a heartbeat, drives you madone of my favs  @thbrothers11	Thu Sep 10 13:36:05 +0000 2015
NA	829	positive	is this adorable you?? https://t.co/qOQpbRDpD1	Thu Sep 10 13:03:50 +0000 2015
NA	830	positive	RT @CBCNB: Former Saint John synagogue holds potential, says architect http://t.co/GxmpnPcsSw	Thu Sep 10 10:39:20 +0000 2015
NA	831	neutral	'art is the intersection between life and humanity itself.'   wendell pierce	Thu Sep 10 03:24:37 +0000 2015
NA	832	negative	RT @cbcradio: After #Katrina destroyed his childhood home @WendellPierce got an unlikely call to action http://t.co/2cASzKfFql http://t.co/…	Thu Sep 10 01:25:13 +0000 2015
NA	833	positive	RT @eduability: @WendellPierce on @cbcradioq eloquently describes spirit&amp;hope of New Orleans people with freedom from within&amp;form through t…	Thu Sep 10 01:24:53 +0000 2015
NA	834	positive	I just used Shazam to discover Ramble On by Led Zeppelin. http://t.co/y2m9nHwbFf	Wed Sep 09 22:54:07 +0000 2015
NA	835	negative	Watch Prince Destroy Solo On Beatles Cover With Tom Petty, Steve Winwood, And More @L4LM #L4LM http://t.co/m7RC5HwQ8r	Wed Sep 09 21:08:50 +0000 2015
NA	836	neutral	RT @oscarcarriv: Toxic People You Should Avoid at All Costs - http://t.co/y1ayfPMzUA via @goodmenproject	Wed Sep 09 18:55:54 +0000 2015
NA	837	neutral	on the water http://t.co/thc4RCxdiF	Wed Sep 09 17:59:02 +0000 2015
NA	838	positive	organic, non-gmo, pesticide free corn.  no thanks.  http://t.co/cMsBjzwNtM	Wed Sep 09 11:16:09 +0000 2015
NA	839	negative	RT @robby_blog: There is no pillow so soft as a clear conscience. (French proverb)	Wed Sep 09 10:14:57 +0000 2015
NA	840	positive	RT @MarcEnsign: Science Suggests Bassists Are Far More Important Than Most People Realize by @hotchiligumbo http://t.co/7nmHlGgh7D via @Mic…	Wed Sep 09 00:43:56 +0000 2015
NA	841	neutral	@ApryllAileen ..fyi.. https://t.co/8CDTG0G9Yt	Tue Sep 08 18:23:03 +0000 2015
NA	842	positive	31 Women Share Their Secrets to Art World Success: Part Three https://t.co/nM186EnKa7	Tue Sep 08 15:42:35 +0000 2015
NA	843	positive	some make it super easy to separate the boys from the men	Tue Sep 08 15:28:55 +0000 2015
NA	844	positive	RT @UptownNancy: https://t.co/F8mTq4Qndy remarkable version @TracyLee1	Mon Sep 07 23:42:59 +0000 2015
NA	845	positive	'a good traveler has no fixed plans and is not intent on arriving!  ~lao tzu http://t.co/zjuB1Qx23u	Mon Sep 07 02:45:47 +0000 2015
NA	846	neutral	'we are monkeys with money and guns.' -tom waits	Sun Sep 06 17:38:02 +0000 2015
NA	847	negative	not sure i'll ever stop being surprised	Fri Sep 04 18:38:09 +0000 2015
NA	848	positive	have fun wit #DJYella tonight, @shannonmagee et al... ;)   'straight outta freddy'	Fri Sep 04 15:00:50 +0000 2015
NA	849	neutral	RT @Fredzipfel: Contentment usually hinges on the ability to ignore things	Fri Sep 04 04:00:00 +0000 2015
NA	850	neutral	http://t.co/6qBHreihem	Thu Sep 03 21:03:16 +0000 2015
NA	851	positive	'all of these people, so beautifully crazydon't have to carry the weight of the world''~jp hoe	Thu Sep 03 18:47:53 +0000 2015
NA	852	positive	almost as many crew employed to build #moncton #acdc stage as the upcoming irving maintenance project ;)	Thu Sep 03 17:59:33 +0000 2015
NA	853	neutral	i WILL be going for chocolate this afternoon	Thu Sep 03 16:16:15 +0000 2015
NA	854	negative	'bleeding out your heart' https://t.co/Fge1BFF1ef … @angusjuliastone absolutely	Thu Sep 03 14:19:04 +0000 2015
NA	855	positive	@GargameleStick2 something to do with really deep, emotionally acute, profound, strong, extraordinary personalities ;))	Thu Sep 03 13:13:48 +0000 2015
NA	856	positive	so beautiful &lt;3 https://t.co/OImHnawZKJ	Thu Sep 03 12:47:40 +0000 2015
NA	857	negative	one of those mornings when i feel tired from dreaming	Thu Sep 03 10:16:52 +0000 2015
NA	858	neutral	http://t.co/a3umMhfPKS	Thu Sep 03 03:02:55 +0000 2015
NA	859	negative	'i see myself as a fish in a stream; deflected, held in place - but cannot describe the stream.' ~virginia woolf	Thu Sep 03 01:29:56 +0000 2015
NA	860	neutral	rooftop. Cali. sun, wind and wiry tattooed boys with beat. #RHCP   https://t.co/vSH4VwfWwD	Thu Sep 03 00:22:25 +0000 2015
NA	861	neutral	always time for #RHCP https://t.co/aar9UG6pYG	Wed Sep 02 23:45:34 +0000 2015
NA	862	neutral	RT @mashable: The designer of Google's original logo reflects on its 'bittersweet' 16-year run and how it changed her life. http://t.co/O8H…	Wed Sep 02 20:42:09 +0000 2015
NA	863	positive	wow. the echo resonating from this is deafening.  good share. https://t.co/lTOy1ZcJKc	Wed Sep 02 15:40:06 +0000 2015
NA	864	negative	don't assume.  ask.  many wrong impressions are a result of incorrect assumptions.	Wed Sep 02 12:49:41 +0000 2015
NA	865	positive	@UptownNancy i am in love with this song beyond words.  thank you for introducing me to paloma faith. ..wish the same to you :)	Wed Sep 02 11:15:41 +0000 2015
NA	866	positive	RT @UptownNancy: https://t.co/szBQx6zMYJ @TracyLee1 sending this to a world of complex love &amp; relationships. Be true to yourself always! #s…	Wed Sep 02 11:13:27 +0000 2015
NA	867	negative	'the notion that a human being should be constantly happy is a uniquely modern, uniquely american, uniquely destructive idea'~andrew weil	Wed Sep 02 01:40:23 +0000 2015
NA	868	positive	the mazda car lot on rothesay avenue is looking pretty damn magical	Wed Sep 02 00:55:04 +0000 2015
NA	869	neutral	I just used Shazam to discover Wild Side by Mötley Crüe. http://t.co/bZiTCmDQfy	Wed Sep 02 00:49:18 +0000 2015
NA	870	positive	stunning in all ways - visual and right to the heart.  https://t.co/8BNv2P8Jdi  @Palomafaith	Tue Sep 01 19:10:05 +0000 2015
NA	871	positive	@CrimeSceneCandy core, wow.  powerful.	Tue Sep 01 14:50:04 +0000 2015
NA	872	negative	my cold coffee is tasting like cigar ash and bad smoked smelt.  still drinking.	Tue Sep 01 14:30:48 +0000 2015
NA	873	positive	'we know that in september, we will wander through the warm winds of summer's wreckage. we will welcome summer's ghost.' ~henry rollins	Tue Sep 01 13:23:46 +0000 2015
NA	874	neutral	RT @erinannflood: All up in that #SkimmLife http://t.co/Z6A0kZHycN via @theSkimm	Tue Sep 01 13:17:48 +0000 2015
NA	875	neutral	RT @dergreifmagazin: Images by Vala Kjarval and Piotr Karpinski from our »Guest-Room: Christoph Tannert« http://t.co/XihESM9TCz http://t.co…	Tue Sep 01 12:51:50 +0000 2015
NA	876	negative	news reporter freaking out over a giant bug is slightly amusing .. http://t.co/RImcK6HRSk	Tue Sep 01 01:31:19 +0000 2015
NA	877	negative	@brundle_fly some tragedies and errors warrant drink a little stiffer than beer. or, perhaps you're a radler man?	Tue Sep 01 00:58:36 +0000 2015
NA	878	neutral	http://t.co/qUTNEZzAlI	Tue Sep 01 00:37:35 +0000 2015
NA	879	negative	how life can be both exquisitely divine and utterly harsh at the same time is completely beyond my understanding	Tue Sep 01 00:28:55 +0000 2015
NA	880	negative	i've been through worse.  this, i can do.	Mon Aug 31 14:48:36 +0000 2015
NA	881	positive	the patience it takes to watch some ted talks is equal to the patience it takes to sit through some sermons.  exactly the same.	Mon Aug 31 12:28:53 +0000 2015
NA	882	positive	RT @Natusik16: ..~  All colors made me happy:            even #gray...~ http://t.co/ov2pTJOgY6	Mon Aug 31 12:24:31 +0000 2015
NA	883	neutral	'fall to pieces'  https://t.co/8PhNqVY4sn velvet revolver with a sexy slash	Mon Aug 31 04:45:42 +0000 2015
NA	884	negative	'sour girl' #STP    https://t.co/h32jHEI5hp	Mon Aug 31 04:31:44 +0000 2015
NA	885	positive	only human.  we find our solace where we can.	Mon Aug 31 01:32:19 +0000 2015
NA	886	neutral	today was a day to go down in the books with @shannonmagee.  thanks for a day to remember, sweety..xo http://t.co/J2Rd4nQbSg	Sun Aug 30 23:10:50 +0000 2015
NA	887	positive	@cameans thank you, sir :)	Sun Aug 30 22:46:36 +0000 2015
NA	888	neutral	nature http://t.co/o6BVlLKlI3	Sun Aug 30 17:36:03 +0000 2015
NA	889	neutral	RT @LovelyFilters: Take off your past and dance with me	Sun Aug 30 14:27:57 +0000 2015
NA	890	neutral	Instagram's biggest change since 2012: Letting users post portrait and widescreen photos http://t.co/xwVdUD94SZ	Sat Aug 29 19:43:12 +0000 2015
NA	891	negative	to those i once did protest, i now can relate	Sat Aug 29 19:39:08 +0000 2015
NA	892	positive	RT @IAFFLocal771: Excellent work by #SJFFs on Forbes Dr. knocking down a fire in an apartment bldg. pics @newswatchsjnb http://t.co/GqGJc5s…	Sat Aug 29 19:03:45 +0000 2015
NA	893	positive	'the key is to keep company only with people who uplift you, whose presence calls forth your best.'~epictetus	Sat Aug 29 15:27:04 +0000 2015
NA	894	neutral	http://t.co/qs15o7hSOm	Sat Aug 29 11:55:26 +0000 2015
NA	895	neutral	phantom limbs	Fri Aug 28 12:27:00 +0000 2015
NA	896	neutral	http://t.co/3KmQo3kfgD	Fri Aug 28 10:37:27 +0000 2015
NA	897	positive	#tbt to one week ago.  seems like forever.. #Charlottetown #PEI http://t.co/XVMkC9fOWW	Fri Aug 28 03:01:47 +0000 2015
NA	898	positive	a beautiful sunset on one side of me, a gorgeous glowing moon on the other.  squeezing summer tight tonight	Thu Aug 27 23:25:51 +0000 2015
NA	899	positive	that's one pretty early evening summer moon over the city. #saintjohn http://t.co/Y9lBrJpWeh	Thu Aug 27 22:47:40 +0000 2015
NA	900	neutral	RT @business: From Ballet Slipper to Sea Turtle, how @pantone turns color into money http://t.co/BaOLvWJnuQ http://t.co/AiqDLBD4ng	Thu Aug 27 21:40:28 +0000 2015
NA	901	neutral	I just used Shazam to discover Tinman by Andy Brown. http://t.co/rcWA4GyYq8	Thu Aug 27 20:51:25 +0000 2015
NA	902	positive	i'm quite comfortable with my level of dysfunction	Thu Aug 27 20:48:58 +0000 2015
NA	903	neutral	I just used Shazam to discover Harden My Heart by Quarterflash. http://t.co/inQNRXBIQy	Thu Aug 27 00:40:15 +0000 2015
NA	904	positive	when someone fav's or rt's a time dependant tweet from, like, a month ago.  yeah, that.	Thu Aug 27 00:35:43 +0000 2015
NA	905	positive	great deals tonight! thanks for taking your mom.. ;). @shannonmagee	Thu Aug 27 00:12:42 +0000 2015
NA	906	negative	'..did i, the marble sarco phagus, bleed iron chocolate tears? jj	Wed Aug 26 21:57:59 +0000 2015
NA	907	neutral	100 Cameras Were Given to the Homeless in London. Here's What They Captured.: http://t.co/TamP8oaC2I	Wed Aug 26 16:43:16 +0000 2015
NA	908	neutral	RT @TIFF_NET: Just dropped: the U.S. trailer for Paolo Sorrentino's YOUTH, starring Michael Caine #TIFF15 http://t.co/iQy26q48pm http://t.c…	Wed Aug 26 14:35:58 +0000 2015
NA	909	positive	i love covers of albums, books, mags, etc.  THIS is stylish and so entrancing, 'the evolution of magazine covers' - https://t.co/hW8u27sA77	Wed Aug 26 13:46:46 +0000 2015
